S.No.,Basin Name,Station Index,Station Name,District,1hr,3hr,6hr,12hr,24hr,Status
46,Narayani,82101,Chomrong,Kaski,,,,,0,BELOW WARNING LEVEL
47,Karnali,322,Chautha,Jumla,0,0,0,0,0,BELOW WARNING LEVEL
48,Narayani,439.7,Bimalnagar (Rainfall),Tanahu,0,0,0,0,0,BELOW WARNING LEVEL
49,Narayani,937,Charchhare,Chitwan,0,0,0,0,0.2,BELOW WARNING LEVEL
50,Keshaliya,131901,Biratnagar_Airport,Morang,0,0,0,0,0,BELOW WARNING LEVEL
51,Narayani,918,Birganj,Parsa,0,0,0,0,0,BELOW WARNING LEVEL
52,Bagmati,112101,Chandrapur,Rautahat,0,0,0,0,0,BELOW WARNING LEVEL
53,Narayani,615,Bobang,Baglung,0,0,0,0,0,BELOW WARNING LEVEL
54,Mechi,141201,Chandragadi Airport,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
55,Koshi,,Bolde,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
56,Koshi,100601,Chandarku,Sindhupalchowk,0,0,0,0,0,BELOW WARNING LEVEL
57,Balan-Khado,122702,Chure Mai,Udayapur,0,0,0,0,0,BELOW WARNING LEVEL
58,Mechi,141502,Bahundangi,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
59,Koshi,1018,Baunepati,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
60,Narayani,744,Deurali Nawal,Nawalparasi West,0,0.2,0.2,0.2,0.2,BELOW WARNING LEVEL
61,Koshi,1017,Duwachaur,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
62,Narayani,706,Dumkauli,Nawalparasi East,0,0,0,0,0,BELOW WARNING LEVEL
63,Mahakali,102,Baitadi (Gothalapani),Baitadi,0,0,0,0,0,BELOW WARNING LEVEL
64,Koshi,670,Dudh Koshi at Rabuwabazar,Khotang,0,0,0,0,0,BELOW WARNING LEVEL
65,Koshi,1420,Dovan,Taplejung,0,0,0,0,0,BELOW WARNING LEVEL
66,Karnali,,Bajura,Bajura,0,0,0,0,0,BELOW WARNING LEVEL
